Pose Name,Image Name,RHA,LHA,REA,LEA,RKA,LKA,RSA,LSA
Sorted_Boat_Pose_or_Paripurna_Navasana,f 109.jpg:,"43.346675070926146
","47.05595858446824
","43.346675070926146
","142.33896723166558
","168.041592576701
","10.466038234491837
","54.82437650424203
","42.781039967503396
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 141.jpg:,"57.564659301251666
","59.28935814628817
","57.564659301251666
","159.62922926849527
","164.90943238883912
","11.888838872264266
","36.66955067838528
","38.411599484694854
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 159.jpg:,"64.41775854199877
","63.78527679818347
","64.41775854199877
","154.3830335406424
","162.17398350823652
","8.992176718536083
","46.44366189566249
","47.68952165772993
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 169.jpg:,"54.92223950831985
","55.11808018085695
","54.92223950831985
","156.72127888505386
","164.1799234745922
","9.231751210453472
","57.47708329324333
","60.63911424612107
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 172.jpg:,"51.91144200149556
","56.87571035856833
","51.91144200149556
","144.22946521894605
","175.163803958292
","1.2817411208444818
","53.01602129442885
","43.856383802071385
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 182.jpg:,"54.80816898512368
","59.15318366565916
","54.80816898512368
","154.43793729399584
","153.9156111032477
","17.664402732280386
","47.793298956912196
","38.81800200219455
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 195.jpg:,"54.9279087155613
","55.61363842499443
","54.9279087155613
","165.87385353886683
","155.1023933320684
","22.3301880891516
","63.95249860815382
","62.72821241163602
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 213.jpg:,"81.55893938635862
","83.05874797359917
","81.55893938635862
","148.87644345948428
","173.4483328366607
","1.8230342751874375
","42.75058860181491
","35.560676246744464
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 226.jpg:,"53.93036038270072
","56.874682025491495
","53.93036038270072
","152.79101507047798
","156.26096867316969
","18.874265481916645
","59.98546528063533
","54.34695517766467
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 236.jpg:,"77.12844807636125
","78.55594698653664
","77.12844807636125
","166.2416292648696
","157.01733647839086
","14.103294563407594
","35.103573993263815
","43.159793777909464
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 240.jpg:,"44.1260850409217
","47.50852958748049
","44.1260850409217
","124.3666084240625
","160.57432634373023
","14.521327026783409
","39.812249532927176
","34.49249040898888
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 241.jpg:,"68.90235807100751
","66.59474960916634
","68.90235807100751
","161.76233374331125
","142.95698121183102
","34.108416280439904
","38.15983362948043
","40.583534725171084
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 250.jpg:,"54.134406741010515
","56.99660659382132
","54.134406741010515
","148.7944298427073
","156.4039545014325
","16.77096675462925
","38.035390109734095
","40.68958239085374
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 289.jpg:,"54.54531431750515
","56.43458162684179
","54.54531431750515
","162.88041416304375
","164.31119707591617
","11.819888683206411
","55.36285829303057
","51.29291149237132
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 300.jpg:,"52.106379544954684
","52.97510972118751
","52.106379544954684
","151.41172076649633
","156.55150156388927
","17.013476506637225
","59.72599527855578
","57.964697601746664
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 316.jpg:,"106.86258631710467
","155.17409411449268
","106.86258631710467
","160.30089829662273
","167.21112618855344
","0.12326536893447619
","155.56592275731023
","148.49930627400605
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 348.jpg:,"58.70105337222966
","60.75870924079212
","58.70105337222966
","161.9266426193345
","157.28800187748243
","19.599147357777394
","48.62698503089102
","45.75711569796816
"
Sorted_Boat_Pose_or_Paripurna_Navasana,f 361.jpg:,"52.28546681139216
","53.949599714729274
","52.28546681139216
","156.02755092094802
","147.9086146226227
","27.477980364294964
","61.74405179258114
",63.26879064096847
